,Site,ID,Fraction,ID_Fraction,Water_d2H_permil,BP0_d2H_mean,BP1_d2H_mean,BP2_d2H_mean,BP3_d2H_mean,BP4_d2H_mean,BP0_d2H_sem,BP1_d2H_sem,BP2_d2H_sem,BP3_d2H_sem,BP4_d2H_sem,BP0_eps_LW_mean,BP0_eps_LW_sem,BP1_eps_LW_mean,BP1_eps_LW_sem,BP2_eps_LW_mean,BP2_eps_LW_sem,BP3_eps_LW_mean,BP3_eps_LW_sem,BP4_eps_LW_mean,BP4_eps_LW_sem,RingDiff_BP1,RingDiff_BP2,RingDiff_BP3,RingDiff_BP4,RingDiff_all,RingDiffAll_BPs,RingDiff_BP1_sem,RingDiff_BP2_sem,RingDiff_BP3_sem,RingDiff_BP4_sem,RingDiff_all_sem
1,Beryl,B01,CL,B01_CL,-138.605303,-405.7742759,-399.801991,-375.3885172,NA,NA,7.500531498,4.743425093,4.447637448,NA,NA,-310.1585996,8.708900047,-303.2253262,5.509056058,-274.883529,5.166042012,NA,NA,NA,NA,6.933273402,22.98966626,NA,NA,17.63753531,"0,1,2",10.3050783,6.316063228,NA,NA,5.434102783
2,Beryl,B01,IPL,B01_IPL,-138.605303,-416.9529123,-411.6098397,-397.001127,NA,NA,7.500531498,5.273804874,4.447637448,NA,NA,-323.1359681,8.708845153,-316.9331523,6.124456096,-299.9737808,5.165855443,NA,NA,NA,NA,6.202815844,14.27023256,NA,NA,11.58109366,"0,1,2",10.64673407,6.456103145,NA,NA,5.578510531
3,Beryl,B02,CL,B02_CL,-138.605303,-423.6278715,-411.4280929,-385.5107834,NA,NA,11.12263691,6.614516351,5.540091261,NA,NA,-330.8849817,12.91329279,-316.722161,7.680483606,-286.6345489,6.433668671,NA,NA,NA,NA,14.16282063,26.10641425,NA,NA,22.12521638,"0,1,2",15.02474489,8.782470385,NA,NA,7.704761179
4,Beryl,B02,IPL,B02_IPL,-138.605303,-406.6262008,-406.5028582,-383.38546,NA,NA,9.286442154,5.755515101,4.962949829,NA,NA,-311.147606,10.78189138,-311.0044166,6.683538319,-284.167244,5.763924929,NA,NA,NA,NA,0.143189466,20.16367678,NA,NA,13.49018101,"0,1,2",12.68538002,7.539305792,NA,NA,6.568302617
5,Beryl,B04,CL,B04_CL,-138.605303,-426.1221414,-414.876437,-386.6085728,-425.6902016,-416.2291648,8.215867935,5.755515101,4.962949829,16.58711145,16.06209504,-333.7805996,9.539121101,-320.7253712,6.683484677,-287.9089814,5.763899943,-333.2791572,19.25673269,-322.2957638,18.64727862,13.05522835,27.87609944,-17.15997375,-0.965563278,1.346525285,"0,1,2,3,4",11.64748036,7.108250205,11.93199063,10.98462589,5.95794963
6,Beryl,B05,CL,B05_CL,-138.605303,-423.253718,-412.7892411,-390.8359303,NA,NA,11.12263691,8.696519072,6.991268248,NA,NA,-330.4506238,12.913294,-318.3023289,10.09709924,-292.8165546,8.117879982,NA,NA,NA,NA,12.14829493,22.15140444,NA,NA,18.8170346,"0,1,2",16.3922108,10.00630459,NA,NA,8.623025383
7,Beryl,B13,IPL,B13_IPL,-138.605303,-408.9318249,-412.854974,-395.8638442,NA,NA,9.286442154,6.614516351,4.962949829,NA,NA,-313.8242235,10.78188218,-318.3786386,7.680475671,-298.6535001,5.763828924,NA,NA,NA,NA,-4.554415132,13.65525014,NA,NA,7.585361717,"0,1,2",13.23777511,7.773064671,NA,NA,6.806213071
8,Beryl,B14,IPL,B14_IPL,-138.605303,-409.4280273,-411.145979,-389.251455,NA,NA,9.286442154,6.614516351,4.962949829,NA,NA,-314.4002688,10.7818802,-316.3946528,7.680485177,-290.9771245,5.763879553,NA,NA,NA,NA,-1.994383949,18.56455022,NA,NA,11.71157216,"0,1,2",13.23777901,7.773085105,NA,NA,6.806224287
9,Beryl,B15,IPL,B15_IPL,-138.605303,-413.461617,-414.3903305,-393.0418621,NA,NA,9.286442154,5.755515101,4.962949829,NA,NA,-319.0828953,10.7818642,-320.1610463,6.683487771,-295.3774384,5.763850464,NA,NA,NA,NA,-1.078150992,18.3181682,NA,NA,11.85272847,"0,1,2",12.68533029,7.539256409,NA,NA,6.568266754
10,Beryl,B16,IPL,B16_IPL,-138.605303,-406.2923862,-409.1082179,-387.6653216,NA,NA,9.286442154,6.614516351,5.540091261,NA,NA,-310.7600779,10.78189271,-314.0289995,7.680496547,-289.1357696,6.433653747,NA,NA,NA,NA,-3.268921565,17.85269205,NA,NA,10.81215418,"0,1,2",13.2377958,8.031547776,NA,NA,6.938317731
