,Region,Site,Sample_Code,Type,ID,Sediment_Mass_g,Tracer_Water,TimePoint,StartTime,EndTime,Incubation_days,Tracer_Water_d2H,Tracer_Water_d2H_sem,Water_Percent,Mass_dry_sed_extracted_g
1,YNP,Beryl,Beryl_Exp_t0_R1,Experimental,B01,20.8,Spiked,0,11/15/23 17:20,11/15/23 17:20,0,22143.2786,700,NA,10.3422
2,YNP,Beryl,Beryl_Exp_t0_R2,Experimental,B02,21.3,Spiked,0,11/15/23 17:20,11/15/23 17:20,0,22485.96845,700,32,11.7449
3,YNP,Beryl,Beryl_Exp_t0_R3,Experimental,B03,20.7,Spiked,0,11/15/23 17:20,11/15/23 17:20,0,22904.3266,700,NA,NA
4,YNP,Beryl,Beryl_Exp_t1_R1,Experimental,B04,20.6,Spiked,1,11/15/23 17:20,11/18/23 14:35,3,21511.15419,700,39,11.3058
5,YNP,Beryl,Beryl_Exp_t1_R2,Experimental,B05,20.1,Spiked,1,11/15/23 17:20,11/18/23 14:35,3,22315.49636,700,37,11.4692
6,YNP,Beryl,Beryl_Exp_t1_R3,Experimental,B06,21,Spiked,1,11/15/23 17:20,11/18/23 14:35,3,22808.73162,700,NA,NA
7,YNP,Beryl,Beryl_Exp_t2_R1,Experimental,B07,20.8,Spiked,2,11/15/23 17:20,11/22/23 15:13,7,22918.61925,700,NA,NA
8,YNP,Beryl,Beryl_Exp_t2_R2,Experimental,B08,20.8,Spiked,2,11/15/23 17:20,11/22/23 15:13,7,22966.40816,700,NA,NA
9,YNP,Beryl,Beryl_Exp_t2_R3,Experimental,B09,20.8,Spiked,2,11/15/23 17:20,11/22/23 15:13,7,22301.32933,700,NA,NA
10,YNP,Beryl,Beryl_Exp_tf_R1,Experimental,B10,20.4,Spiked,3,11/15/23 17:20,11/29/23 15:04,14,22563.36916,700,NA,11.452
11,YNP,Beryl,Beryl_Exp_tf_R2,Experimental,B11,20.1,Spiked,3,11/15/23 17:20,11/29/23 15:04,14,23829.41806,700,35,11.6571
12,YNP,Beryl,Beryl_Exp_tf_R3,Experimental,B12,20.9,Spiked,3,11/15/23 17:20,11/29/23 15:04,14,23977.79311,700,NA,NA
13,YNP,Beryl,Beryl_KilledCntrl_t0_R1,Control-Kill,B13,19.8,Spiked,0,11/15/23 17:20,11/15/23 17:20,0,22289.95156,700,NA,11.2901
14,YNP,Beryl,Beryl_KilledCntrl_tf_R1,Control-Kill,B14,20.2,Spiked,3,11/15/23 17:20,11/29/23 15:04,14,24723.79248,700,NA,11.9842
15,YNP,Beryl,Beryl_LiveCntrl_t0_R1,Control-Live,B15,22.1,NatAbundance,0,11/15/23 17:20,11/15/23 17:20,0,-135.2484199,0.5,32,13.6469
16,YNP,Beryl,Beryl_LiveCntrl_tf_R1,Control-Live,B16,20.2,NatAbundance,3,11/15/23 17:20,11/29/23 15:04,14,-135.6740045,0.5,35,12.7591
17,ETAT,ETAT-3,ETAT3_Exp_t0_R1,Experimental,E01,20.2,Spiked,0,2/28/23 16:28,2/28/23 16:28,0,22096.89688,700,NA,10.0324
18,ETAT,ETAT-3,ETAT3_Exp_t0_R2,Experimental,E02,20.1,Spiked,0,2/28/23 16:28,2/28/23 16:28,0,24260.20122,700,35,11.3576
19,ETAT,ETAT-3,ETAT3_Exp_t0_R3,Experimental,E03,19.6,Spiked,0,2/28/23 16:28,2/28/23 16:28,0,26176.76618,700,NA,NA
20,ETAT,ETAT-3,ETAT3_Exp_t1_R1,Experimental,E04,20.9,Spiked,1,2/28/23 16:28,3/3/23 16:14,3,23896.35425,700,34,11.5035
21,ETAT,ETAT-3,ETAT3_Exp_t1_R2,Experimental,E05,20.8,Spiked,1,2/28/23 16:28,3/3/23 16:14,3,22524.27393,700,37,11.5756
22,ETAT,ETAT-3,ETAT3_Exp_t1_R3,Experimental,E06,20.5,Spiked,1,2/28/23 16:28,3/3/23 16:14,3,23027.11784,700,NA,NA
23,ETAT,ETAT-3,ETAT3_Exp_t2_R1,Experimental,E07,20.8,Spiked,2,2/28/23 16:28,3/7/23 16:17,7,22029.79805,700,NA,NA
24,ETAT,ETAT-3,ETAT3_Exp_t2_R2,Experimental,E08,20,Spiked,2,2/28/23 16:28,3/7/23 16:17,7,22986.99028,700,NA,NA
25,ETAT,ETAT-3,ETAT3_Exp_t2_R3,Experimental,E09,20.2,Spiked,2,2/28/23 16:28,3/7/23 16:17,7,22799.06635,700,NA,NA
26,ETAT,ETAT-3,ETAT3_Exp_tf_R1,Experimental,E10,20.6,Spiked,3,2/28/23 16:28,3/14/23 16:14,14,24653.3886,700,NA,11.489
27,ETAT,ETAT-3,ETAT3_Exp_tf_R2,Experimental,E11,20.1,Spiked,3,2/28/23 16:28,3/14/23 16:14,14,23431.18505,700,32,11.2551
28,ETAT,ETAT-3,ETAT3_Exp_tf_R3,Experimental,E12,20.2,Spiked,3,2/28/23 16:28,3/14/23 16:14,14,22273.77278,700,NA,NA
29,ETAT,ETAT-3,ETAT3_KilledCntrl_t0_R1,Control-Kill,E13,20.6,Spiked,0,2/28/23 16:28,2/28/23 16:28,0,23846.51292,700,NA,13.2785
30,ETAT,ETAT-3,ETAT3_KilledCntrl_tf_R1,Control-Kill,E14,20.3,Spiked,3,2/28/23 16:28,3/14/23 16:14,14,22545.94059,700,35,11.9475
31,ETAT,ETAT-3,ETAT3_LiveCntrl_t0_R1,Control-Live,E15,20.6,NatAbundance,0,2/28/23 16:28,2/28/23 16:28,0,-67.01960967,0.5,35,13.3522
32,ETAT,ETAT-3,ETAT3_LiveCntrl_tf_R1,Control-Live,E16,20.4,NatAbundance,3,2/28/23 16:28,3/14/23 16:14,14,-67.08086142,0.5,33,13.3754
