"","ID","ID_Fraction","Fraction","GDGT0_RelAbund","GDGT1_RelAbund","GDGT2_RelAbund","GDGT3_RelAbund","GDGT4_RelAbund","Cren_RelAbund","GDGT5_RelAbund","GDGT6_RelAbund","GDGT7_RelAbund","GDGT8_RelAbund","Total_GDGT_ng","Total_GDGT_ug","GDGT0_ug","GDGT1_ug","GDGT2_ug","GDGT3_ug","GDGT4_ug","Cren_ug","GDGT5_ug","GDGT6_ug","GDGT7_ug","GDGT8_ug","RI_GDGT","GDGT_ug_sediment_g","BP0_RelAbund","BP1_RelAbund","BP2_RelAbund","BP3_RelAbund","BP4_RelAbund","BP0_ug","BP1_ug","BP2_ug","BP3_ug","BP4_ug","Total_BP_ug","RI_BP","BP_ug_sediment_g","BP_CL_IPL_Total_ug","BP_IPL_Percent","BP_CL_percent","Water_d2H_permil","BP0_d2H_mean","BP1_d2H_mean","BP2_d2H_mean","BP3_d2H_mean","BP4_d2H_mean","BP0_d2H_sem","BP1_d2H_sem","BP2_d2H_sem","BP3_d2H_sem","BP4_d2H_sem","BP0_eps_LW_mean","BP0_eps_LW_sem","BP1_eps_LW_mean","BP1_eps_LW_sem","BP2_eps_LW_mean","BP2_eps_LW_sem","BP3_eps_LW_mean","BP3_eps_LW_sem","BP4_eps_LW_mean","BP4_eps_LW_sem","RingDiff_BP1","RingDiff_BP2","RingDiff_BP3","RingDiff_BP4","RingDiff_all","RingDiffAll_BPs","RingDiff_BP1_sem","RingDiff_BP2_sem","RingDiff_BP3_sem","RingDiff_BP4_sem","RingDiff_all_sem","Region","Site","Sample_Code","Type","Sediment_Mass_g","Tracer_Water","TimePoint","StartTime","EndTime","Incubation_days","Tracer_Water_d2H","Tracer_Water_d2H_sem","Water_Percent","Mass_dry_sed_extracted_g","Total_BP_Abund_in_d2H","d2H_wt_mean","d2H_wt_mean_sem","BP0_F2H_mean","BP0_F2H_mean_sem","BP0_D_ppm_mean","BP0_D_ppm_mean_sem","BP1_F2H_mean","BP1_F2H_mean_sem","BP1_D_ppm_mean","BP1_D_ppm_mean_sem","BP2_F2H_mean","BP2_F2H_mean_sem","BP2_D_ppm_mean","BP2_D_ppm_mean_sem","BP3_F2H_mean","BP3_F2H_mean_sem","BP3_D_ppm_mean","BP3_D_ppm_mean_sem","BP4_F2H_mean","BP4_F2H_mean_sem","BP4_D_ppm_mean","BP4_D_ppm_mean_sem","F2H_wt_mean","F2H_wt_mean_sem","D_ppm_wt_mean","D_ppm_wt_mean_sem","Tracer_Water_F2H","Tracer_Water_F2H_sem","Tracer_Water_D_ppm","Tracer_Water_D_ppm_sem"
"1","B01","B01_IPL","IPL",0.198178982081243,0.196270847835324,0.219199504623998,0.197543727891191,0.157921645167375,0.000154654344464672,0.0236637487695311,0.00669796157004051,0.000358445722007463,1.04819948247399e-05,6527.96501257864,6.52796501257864,0.012937054612548,0.0128124922765814,0.0143092669696003,0.0128955854412805,0.0103090697438148,1.00957814970866e-05,0.0015447612403395,0.000437240587848207,2.33992113217321e-05,6.84260954779326e-07,2.0207057280848,0.631196941905846,34.4306504858883,35.2257404565955,29.4694750546334,0.753243130143674,0.120890872739108,8.06745063050202,8.25374827504164,6.90499690697121,0.176492505353319,0.0283259576492981,23.4310142755175,0.969079834472497,2.26557350230294,101.474749481815,23.0904874317689,76.9095125682311,-138.605303,-416.9529123,-411.6098397,-397.001127,NA,NA,7.500531498,5.273804874,4.447637448,NA,NA,-323.1359681,8.708845153,-316.9331523,6.124456096,-299.9737808,5.165855443,NA,NA,NA,NA,6.202815844,14.27023256,NA,NA,11.58109366,"0,1,2",10.64673407,6.456103145,NA,NA,5.578510531,"YNP","Beryl","Beryl_Exp_t0_R1","Experimental",20.8,"Spiked",0,"11/15/23 17:20","11/15/23 17:20",0,22143.2786,700,NA,10.3422,99.1258659971172,-409.122641966072,3.47102751200005,9.08071676895896e-05,1.16807061886033e-06,90.8071676895896,1.16807061886033,9.16392528460315e-05,8.21297300338622e-07,91.6392528460315,0.821297300338622,9.39142837373984e-05,6.92633894139194e-07,93.9142837373984,0.692633894139194,NA,NA,NA,NA,NA,NA,NA,NA,9.20265876151015e-05,5.4054774200564e-07,92.0265876151014,0.54054774200564,0.00359184918729275,0.00010825015366215,3591.84918729275,108.25015366215
"2","B02","B02_IPL","IPL",0.176932509872991,0.193614258615633,0.217476050979612,0.214673494074531,0.176345475836804,0,0.0135803141162746,0.00676495606047091,0.00060425845016197,8.68199352156824e-06,3496.21061390829,3.49621061390829,0.00618593318963383,0.00676916225975961,0.00760342077705781,0.00750543748508152,0.00616540924335341,0,0.000474796383535276,0.000236517111812416,2.11261480700005e-05,3.03540778999899e-07,2.09075931818917,0.297679044854216,34.3813831339364,34.4105631747884,30.1429822001751,0.926466297052816,0.138605194047272,3.88493735373537,3.88823456345634,3.40601764176418,0.104686408640864,0.0156617461746175,11.2995377137714,0.980303472424861,0.962080367970044,93.3778979389121,12.1008696524348,87.8991303475652,-138.605303,-406.6262008,-406.5028582,-383.38546,NA,NA,9.286442154,5.755515101,4.962949829,NA,NA,-311.147606,10.78189138,-311.0044166,6.683538319,-284.167244,5.763924929,NA,NA,NA,NA,0.143189466,20.16367678,NA,NA,13.49018101,"0,1,2",12.68538002,7.539305792,NA,NA,6.568302617,"YNP","Beryl","Beryl_Exp_t0_R2","Experimental",21.3,"Spiked",0,"11/15/23 17:20","11/15/23 17:20",0,22485.96845,700,32,11.7449,98.9349285088999,-399.502432327076,4.08759044205436,9.24153615749815e-05,1.44618889270966e-06,92.4153615749815,1.44618889270966,9.24345698672137e-05,8.96313308483951e-07,92.4345698672137,0.896313308483951,9.60346572092351e-05,7.7288059733181e-07,96.0346572092351,0.77288059733181,NA,NA,NA,NA,NA,NA,NA,NA,9.35247534431018e-05,6.36564001565864e-07,93.5247534431018,0.636564001565864,0.00364484098163408,0.000108238639871667,3644.84098163408,108.238639871667
"3","B04","B04_IPL","IPL",0.208901009603628,0.210211098321886,0.221469491466503,0.18108378310703,0.145023795477521,0.0073738305616165,0.017891041249777,0.00772803727022359,0.000298231162889844,1.96817789251913e-05,9214.77434070887,9.21477434070887,0.0192497566304369,0.0193704783494874,0.0204079138721537,0.0166864619809315,0.0133636154935847,0.000679481846519186,0.00164861907837009,0.000712121195416982,2.7481328673971e-05,1.81363151419358e-06,1.94406043697439,0.81504841238204,32.6563343862003,34.1619887730553,31.9296924864573,1.0670507176407,0.184933636646318,19.7812006927906,20.6932336003464,19.3410456808833,0.646353756224291,0.112021433210652,60.5738551634553,1.01962260445477,5.35776815116624,68.8985699753582,87.9174345492508,12.0825654507492,-138.605303,-401.4380581,-400.0548196,-373.9488592,NA,NA,4.318134111,3.873897812,3.85361237,NA,NA,-305.1246497,5.015552032,-303.518837,4.500145402,-273.2122185,4.476870869,NA,NA,NA,NA,1.60581268,23.13141701,NA,NA,15.95621557,"0,1,2",6.738476892,4.623089237,NA,NA,3.813701719,"YNP","Beryl","Beryl_Exp_t1_R1","Experimental",20.6,"Spiked",1,"11/15/23 17:20","11/18/23 14:35",3,21511.15419,700,39,11.3058,98.7480156457129,-392.071025865123,2.32119863784505,9.32233166733316e-05,6.72467172354456e-07,93.2233166733316,0.672467172354456,9.34387296870277e-05,6.03285566919638e-07,93.4387296870277,0.603285566919638,9.75042176914703e-05,6.00121616855233e-07,97.5042176914703,0.600121616855233,NA,NA,NA,NA,NA,NA,NA,NA,9.46820514715019e-05,3.61481438499477e-07,94.6820514715019,0.361481438499478,0.00349408593253199,0.000108271396777264,3494.08593253199,108.271396777264
"4","B05","B05_IPL","IPL",0.210741407847476,0.224697528033713,0.218579636091446,0.185283241716076,0.144960277410257,6.16646874067575e-05,0.0116706571715598,0.00398304963656183,2.18925780222731e-05,6.44827482125018e-07,7517.2906235983,7.5172906235983,0.0158420440921574,0.0168911662063354,0.0164312664889975,0.0139282797566215,0.0108970853417033,4.63551376449938e-06,0.000877317217269965,0.000299417416862529,1.64572871493228e-06,4.84735558521689e-08,1.88020428409867,0.655432865727191,34.3232692592776,35.390621139497,29.6733705588773,0.612739042348174,0,12.5863609022556,12.9777593984962,10.8812406015038,0.224691729323308,0,36.6700526315789,0.965755793842961,3.19726333411039,93.4371613806573,39.245683505075,60.754316494925,-138.605303,-405.2757972,-402.8366948,-373.8690299,NA,NA,4.318134111,3.873897812,3.85361237,NA,NA,-309.5799116,5.015518864,-306.7483381,4.50011852,-273.1195441,4.47687168,NA,NA,NA,NA,2.83157349,25.92948887,NA,NA,18.23018374,"0,1,2",6.738434252,4.623074092,NA,NA,3.813685188,"YNP","Beryl","Beryl_Exp_t1_R2","Experimental",20.1,"Spiked",1,"11/15/23 17:20","11/18/23 14:35",3,22315.49636,700,37,11.4692,99.3872609576519,-395.030359471899,2.33463059438469,9.26256615201992e-05,6.72467976236578e-07,92.6256615201992,0.672467976236578,9.30055055893074e-05,6.03286089684289e-07,93.0055055893074,0.603286089684289,9.75166494784258e-05,6.0012160193261e-07,97.5166494784258,0.60012160193261,NA,NA,NA,NA,NA,NA,NA,NA,9.42211927389559e-05,3.63573539032133e-07,94.2211927389559,0.363573539032133,0.00361848075973834,0.000108244367211525,3618.48075973834,108.244367211525
"5","B10","B10_IPL","IPL",0.203750321140467,0.208031573668973,0.21592990858165,0.204713295302667,0.149926778550766,9.0137046323896e-05,0.0111003081451498,0.00623106351758164,0.000224993566517599,1.62047990521517e-06,5514.19481924031,5.51419481924031,0.0112351896525131,0.0114712662576386,0.0119067958321997,0.0112882899238758,0.00826725465550021,4.97033233860851e-06,0.000612092616659562,0.00034359298167006,1.24065835885375e-05,8.93564189802053e-08,1.94857477976473,0.481504961512427,33.6284707298203,35.5110461617811,30.0137539757586,0.739276197025703,0.107452935614201,6.77882611163671,7.1583156102176,6.05017161778619,0.149023273415326,0.0216603595080416,20.1579969725639,0.981861944468323,1.76021629170135,20.1579969725639,NA,NA,-138.605303,-399.0096082,-395.4459074,-363.1359437,NA,NA,4.318134111,3.873897812,3.85361237,NA,NA,-302.3054427,5.015573131,-298.1683139,4.500190214,-260.6594184,4.476981673,NA,NA,NA,NA,4.137128789,29.16595386,NA,NA,20.82301217,"0,1,2",6.738522523,4.623159515,NA,NA,3.813748541,"YNP","Beryl","Beryl_Exp_tf_R1","Experimental",20.4,"Spiked",3,"11/15/23 17:20","11/29/23 15:04",14,22563.36916,700,NA,11.452,99.15327086736,-386.874314289856,2.33032888544917,9.3601501365568e-05,6.7246666367355e-07,93.601501365568,0.67246666367355,9.41564791859858e-05,6.03284700823195e-07,94.1564791859858,0.603284700823195,9.91881061529486e-05,6.0011959558412e-07,99.1881061529486,0.60011959558412,NA,NA,NA,NA,NA,NA,NA,NA,9.5491337339875e-05,3.6290270913877e-07,95.491337339875,0.36290270913877,0.0036568090486959,0.000108236039595031,3656.8090486959,108.236039595031
"6","B11","B11_IPL","IPL",0.215053784459112,0.202050106985537,0.204279846625455,0.191155251830463,0.17169529109028,7.1645827091054e-05,0.0103103263675068,0.00532235777033884,5.98614940801058e-05,1.5275501355867e-06,4501.73581141352,4.50173581141352,0.00968115322879589,0.00909576202316723,0.00919613901103871,0.00860530442704965,0.00772926840552183,3.22530585554139e-06,0.000464143654359664,0.000239598485758894,2.6948063162513e-06,6.8766271491002e-08,1.95506033271653,0.386179736934016,33.7927967985771,33.1925300133393,31.8096931969764,1.06714095153402,0.137839039573144,6.75735922330097,6.63732718446602,6.36080893203883,0.213390291262136,0.0275629126213592,19.9964485436893,1.00564695420187,1.71538792184071,19.9964485436893,NA,NA,-138.605303,-395.7715146,-389.4638837,-356.2692613,NA,NA,4.318134111,3.873897812,3.85361237,NA,NA,-298.5463139,5.015601396,-291.2237347,4.500248888,-252.6878318,4.477053023,NA,NA,NA,NA,7.322579217,30.73257198,NA,NA,22.92924106,"0,1,2",6.738582746,4.623216006,NA,NA,3.8137908,"YNP","Beryl","Beryl_Exp_tf_R2","Experimental",20.1,"Spiked",3,"11/15/23 17:20","11/29/23 15:04",14,23829.41806,700,35,11.6571,98.7950200088928,-380.933511774639,2.3270302057801,9.41057721560815e-05,6.72465985399641e-07,94.1057721560815,0.672465985399641,9.50880628753434e-05,6.032835766975e-07,95.0880628753434,0.6032835766975,0.000100257447296329,6.00118311992341e-07,100.257447296329,0.600118311992341,NA,NA,NA,NA,NA,NA,NA,NA,9.64164991682826e-05,3.62388334315502e-07,96.4164991682826,0.362388334315501,0.00385253076337047,0.000108193519983828,3852.53076337047,108.193519983828
"7","B13","B13_IPL","IPL",0.198045659035693,0.20065242408635,0.216291729527056,0.194269733025635,0.171713585237943,0.000143915656397541,0.0143369868108363,0.00446115277288345,6.64287797548413e-05,1.83850674515609e-05,5542.77383038103,5.54277383038103,0.0109772229612361,0.0111217100522834,0.0119885613815042,0.010767931922496,0.00951769566577771,7.97691934062397e-06,0.000794666753016215,0.000247271608428702,3.6819970200928e-06,1.01904270740302e-06,2.0025390184841,0.490941074957798,34.9007688181656,35.7113057989153,28.7561833243936,0.631742058525538,0,5.38662595419847,5.51172519083969,4.43826335877863,0.0975038167938931,0,15.4341183206107,0.951188986232791,1.36704885878873,15.4341183206107,NA,NA,-138.605303,-408.9318249,-412.854974,-395.8638442,NA,NA,9.286442154,6.614516351,4.962949829,NA,NA,-313.8242235,10.78188218,-318.3786386,7.680475671,-298.6535001,5.763828924,NA,NA,NA,NA,-4.554415132,13.65525014,NA,NA,7.585361717,"0,1,2",13.23777511,7.773064671,NA,NA,6.806213071,"YNP","Beryl","Beryl_KilledCntrl_t0_R1","Control-Kill",19.8,"Spiked",0,"11/15/23 17:20","11/15/23 17:20",0,22289.95156,700,NA,11.2901,99.3682579414745,-406.559996346632,4.28391288204693,9.20563038103144e-05,1.44618993133654e-06,92.0563038103144,1.44618993133654,9.14453462336533e-05,1.03008864736101e-06,91.4453462336533,1.03008864736101,9.40913936039703e-05,7.728836014447e-07,94.0913936039703,0.7728836014447,NA,NA,NA,NA,NA,NA,NA,NA,9.24256716746443e-05,6.67138931880651e-07,92.4256716746443,0.667138931880652,0.003614530628776,0.000108245225477693,3614.530628776,108.245225477693
"8","B14","B14_IPL","IPL",0.208415535913746,0.202087501120179,0.220165983954247,0.184819772828953,0.168629579189504,0.00016862943094968,0.0118199825382034,0.0038810453215191,1.07884994866607e-05,1.18120321093059e-06,4032.06800863668,4.03206800863668,0.00840345614860684,0.00814830548212005,0.00887724220491937,0.0074520589338712,0.00679925931559864,6.79925333846812e-06,0.00047658973454934,0.000156486386809662,4.34999636413577e-07,4.76269167849214e-08,1.95454277573957,0.336448658119581,33.9012107575271,35.1226829529626,30.1510768241723,0.750026786670953,0.0750026786670953,2.8164766718507,2.91795528771384,2.50491951788491,0.0623114307931571,0.00623114307931571,8.30789405132193,0.979749276759884,0.693237266677953,8.30789405132193,NA,NA,-138.605303,-409.4280273,-411.145979,-389.251455,NA,NA,9.286442154,6.614516351,4.962949829,NA,NA,-314.4002688,10.7818802,-316.3946528,7.680485177,-290.9771245,5.763879553,NA,NA,NA,NA,-1.994383949,18.56455022,NA,NA,11.71157216,"0,1,2",13.23777901,7.773085105,NA,NA,6.806224287,"YNP","Beryl","Beryl_KilledCntrl_tf_R1","Control-Kill",20.2,"Spiked",3,"11/15/23 17:20","11/29/23 15:04",14,24723.79248,700,NA,11.9842,99.174970534662,-403.902375962532,4.22384129850841,9.19790295476483e-05,1.44619015486365e-06,91.9790295476483,1.44619015486365,9.17114905420067e-05,1.03008809900648e-06,91.7114905420067,1.03008809900648,9.51211444763325e-05,7.7288200954061e-07,95.1211444763325,0.77288200954061,NA,NA,NA,NA,NA,NA,NA,NA,9.28395459385107e-05,6.5778336702666e-07,92.8395459385107,0.65778336702666,0.00399074803521616,0.0001081634979717,3990.74803521616,108.1634979717
"9","B15","B15_IPL","IPL",0.189619756418258,0.203445663189793,0.21218048920939,0.182313582560548,0.182181975735989,0,0.020883895706474,0.00919409150663132,0.000171161813018856,9.38385989696683e-06,10348.1756639183,10.3481756639183,0.0196221854876553,0.0210529146075033,0.0219568097479489,0.0188661297825482,0.0188525108771571,0,0.00216110221317542,0.0009514207398076,1.77121250807386e-05,9.71058306194108e-07,2.06433252337664,0.75828031742874,30.5834898883855,35.3823626920102,31.8985523262239,1.04983976129959,1.08575533208089,6.18240395170143,7.15248847420417,6.44824173679717,0.212223441883156,0.219483717526528,20.2148413221125,1.0667200795668,1.48127716346661,20.2148413221125,NA,NA,-138.605303,-413.461617,-414.3903305,-393.0418621,NA,NA,9.286442154,5.755515101,4.962949829,NA,NA,-319.0828953,10.7818642,-320.1610463,6.683487771,-295.3774384,5.763850464,NA,NA,NA,NA,-1.078150992,18.3181682,NA,NA,11.85272847,"0,1,2",12.68533029,7.539256409,NA,NA,6.568266754,"YNP","Beryl","Beryl_LiveCntrl_t0_R1","Control-Live",22.1,"NatAbundance",0,"11/15/23 17:20","11/15/23 17:20",0,-135.2484199,0.5,32,13.6469,97.8644049066196,-407.141642512212,3.92033318221075,9.13508727917292e-05,1.44619197189958e-06,91.3508727917292,1.44619197189958,9.12062427838218e-05,8.96315510620681e-07,91.2062427838218,0.896315510620681,9.45308626304987e-05,7.72882922064118e-07,94.5308626304987,0.772882922064118,NA,NA,NA,NA,NA,NA,NA,NA,9.23350912059294e-05,6.10518336311276e-07,92.3350912059294,0.610518336311276,0.000134675566165246,7.78590243463632e-08,134.675566165246,0.0778590243463632
"10","B16","B16_IPL","IPL",0.180214869744545,0.194414535271508,0.218867678322115,0.206128986450702,0.182390825973315,0,0.012078030983641,0.00580669744546948,9.58481312158659e-05,2.5276774885886e-06,3271.47043040586,3.27147043040586,0.00589567617488722,0.00636021403381836,0.0071601913780238,0.00674344884023003,0.00596686193949002,0,0.000395129212205075,0.000189964389911667,3.13564327082366e-06,8.26922216152016e-08,2.07602165309055,0.2564029148142,38.390441839495,35.1668169522092,26.0595130748422,0.383228133453562,0,1.33894866071429,1.22651785714286,0.908881181318681,0.0133658997252747,0,3.4877135989011,0.884355275022543,0.273351066995407,3.4877135989011,NA,NA,-138.605303,-406.2923862,-409.1082179,-387.6653216,NA,NA,9.286442154,6.614516351,5.540091261,NA,NA,-310.7600779,10.78189271,-314.0289995,7.680496547,-289.1357696,6.433653747,NA,NA,NA,NA,-3.268921565,17.85269205,NA,NA,10.81215418,"0,1,2",13.2377958,8.031547776,NA,NA,6.938317731,"YNP","Beryl","Beryl_LiveCntrl_tf_R1","Control-Live",20.2,"NatAbundance",3,"11/15/23 17:20","11/29/23 15:04",14,-135.6740045,0.5,35,12.7591,99.6167718665464,-402.41363778959,4.51230321958074,9.24673469245524e-05,1.4461887423345e-06,92.4673469245524,1.4461887423345,9.2028833894136e-05,1.0300874451634e-06,92.028833894136,1.0300874451634,9.53681535554073e-05,8.62760031607388e-07,95.3681535554073,0.862760031607388,NA,NA,NA,NA,NA,NA,NA,NA,9.30713886882153e-05,7.0270552765993e-07,93.0713886882153,0.70270552765993,0.000134609294957388,7.78590346673767e-08,134.609294957388,0.0778590346673767
