Site,Fraction,GDGT0,GDGT1,GDGT2,GDGT3,GDGT4,Cren,GDGT5,GDGT6,GDGT7,GDGT8,BP0,BP1,BP2,BP3,BP4,IPL,CL
Beryl,IPL,0.187555746,0.194942553,0.218337778,0.206108611,0.167133561,7.73E-05,0.018622031,0.006731459,0.000481352,9.58E-06,0,0,0,0,0,0,0
Beryl,CL,0.213587301,0.176554883,0.17972356,0.175628088,0.17131214,0.002519967,0.030548885,0.043092322,0.006413264,0.000619532,0,0,0,0,0,0,0
Beryl,IPL,0,0,0,0,0,0,0,0,0,0,0.344060168,0.348181518,0.298062286,0.008398547,0.00129748,0,0
Beryl,CL,0,0,0,0,0,0,0,0,0,0,0.210318059,0.353920932,0.426748801,0.009012209,0,0,0
Beryl,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.85
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAT-3,IPL,0.061776236,0.100951469,0.242846762,0.252417754,0.324703862,0.000319921,0.014417967,0.002419284,0.000139073,7.67E-06,0,0,0,0,0,0,0
ETAT-3,CL,0.130029336,0.144945942,0.253285891,0.112951966,0.288200124,0.004348506,0.049902199,0.013587913,0.002748123,0,0,0,0,0,0,0,0
ETAT-3,IPL,0,0,0,0,0,0,0,0,0,0,0.316766236,0.305204425,0.356338867,0.021690472,0,0,0
ETAT-3,CL,0,0,0,0,0,0,0,0,0,0,0.213383712,0.325758154,0.449542291,0.010585218,0.000730624,0,0
ETAT-3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.12
