"label_panel","FL_ppm","alpha_label","alpha","deltaH_permil","deltaH_ppm","generation_time_years","mu_day","detectable_fraction","incubation_time_days","TG_error_years"
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.001,1.89903337139711,0.000787613791002231,0.000414907991386325,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00102333232891644,1.85573475764995,0.000787613791002231,0.000424588761111409,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00104720905540554,1.81342336718211,0.000787613791002231,0.000434495405739884,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00107164288153054,1.7720766909634,0.000787613791002231,0.000444633195459288,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00109664680572337,1.73167273317728,0.000787613791002231,0.000455007523422911,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00112223412969966,1.69218999951938,0.000787613791002231,0.000465623908618868,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00114841846553507,1.65360748576288,0.000787613791002231,0.000476487998806122,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00117521374290665,1.61590466658452,0.000787613791002231,0.000487605573519001,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00120263421650326,1.57906148464549,0.000787613791002231,0.000498982547141835,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00123069447360888,1.5430583399212,0.000787613791002231,0.000510624972055311,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00125940944186276,1.50787607927434,0.000787613791002231,0.000522539041856252,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00128879439720077,1.47349598626574,0.000787613791002231,0.000534731094652523,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00131886497198193,1.43989977119745,0.000787613791002231,0.000547207616434802,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00134963716330458,1.40706956138296,0.000787613791002231,0.000559975244527039,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00138112734151665,1.37498789163911,0.000787613791002231,0.000573040771117407,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.0014133522589244,1.34363769499497,0.000787613791002231,0.000586411146871648,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00144632905870441,1.31300229361237,0.000787613791002231,0.000600093484630723,NA
