"Ft_minus_F0_ppm","F0_ppm","Ft_ppm","FL_ppm","t_days","alpha","mu_day","mu_day_sem","mu_sigma_ratio","mu_year","mu_year_sem","T_G_years","T_G_years_sem"
0.1,95,95.1,3700,14,0.66,3.04346370563401e-06,2.02351762776846e-05,0.150404605518082,0.00111086425255641,0.00738583934135489,623.971091845666,4148.61692363968
0.2,95,95.2,3700,14,0.66,6.08705709418429e-06,2.02532095373841e-05,0.300547776536286,0.00222177583937727,0.0073924214811452,311.978899164834,1038.03429444825
0.3,95,95.3,3700,14,0.66,9.13078017673469e-06,2.02829464685835e-05,0.450170303948564,0.00333273476450816,0.00740327546103298,207.981501540894,462.006266776445
0.4,95,95.4,3700,14,0.66,1.21746329642912e-05,2.0324338689243e-05,0.59901742194125,0.00444374103196628,0.00741838362157371,155.98280268219,260.3977730342
0.5,95,95.5,3700,14,0.66,1.52186154679404e-05,2.03773181561892e-05,0.74684094105475,0.00555479464579825,0.00743772112700907,124.783583329089,167.08187308647
0.6,95,95.6,3700,14,0.66,1.82627276987308e-05,2.04417977506741e-05,0.893401251762635,0.00666589561003676,0.00746125617899604,103.98410372888,116.391267108395
0.7,95,95.7,3700,14,0.66,2.13069696677123e-05,2.05176720143976e-05,1.03846916223053,0.007777043928715,0.00748895028525511,89.1273325589244,85.8256901605891
0.8,95,95.8,3700,14,0.66,2.43513413859758e-05,2.06048180218875e-05,1.18182753956422,0.00888823960588115,0.00752075857798894,77.9847541577643,65.9865771841127
0.9,95,95.9,3700,14,0.66,2.73958428645342e-05,2.07030963729679e-05,1.32327273036824,0.00999948264555498,0.0075566301761333,69.318304269278,52.3839890889219
1,95,96,3700,14,0.66,3.04404741144814e-05,2.08123522874335e-05,1.4626157434814,0.0111107730517857,0.00759650858491322,62.3851443395781,42.6531333452526
1.1,95,96.1,3700,14,0.66,3.34852351468728e-05,2.09324167829641e-05,1.59968318489267,0.0122221108286086,0.00764033212578189,56.7125589253765,35.4523692322124
1.2,95,96.2,3700,14,0.66,3.65301259727654e-05,2.10631079168063e-05,1.73431794192242,0.0133334959800594,0.0076880343896343,51.9854043978089,29.9745526129915
1.3,95,96.3,3700,14,0.66,3.95751466032572e-05,2.12042320717721e-05,1.8663796203184,0.0144449285101889,0.0077395447061968,47.9855043983795,25.7104738371464
1.4,95,96.4,3700,14,0.66,4.26202970493682e-05,2.13555852676011e-05,1.99574474383656,0.0155564084230194,0.00779478862267439,44.5570186711137,22.3260107830517
1.5,95,96.5,3700,14,0.66,4.56655773221993e-05,2.15169544796973e-05,2.12230673096826,0.0166679357226028,0.00785368838508953,41.5856643615439,19.5945589554679
1.6,95,96.6,3700,14,0.66,4.87109874328131e-05,2.1688118948521e-05,2.24597566752717,0.0177795104129768,0.00791616341621018,38.9857293288591,17.3580372630585
1.7,95,96.7,3700,14,0.66,5.17565273922736e-05,2.186885146452e-05,2.36667789692766,0.0188911324981799,0.00798213078454979,36.6916689947905,15.50344854381
1.8,95,96.8,3700,14,0.66,5.48021972116858e-05,2.20589196152659e-05,2.48435545201225,0.0200028019822653,0.00805150565957207,34.6525042428804,13.9482875587763
