"incubation_time_days","alpha","FL_ppm","deltaH_ppm","F0_ppm","Ft_ppm","growth_rate_day","growth_rate_year","TG_days","TG_years","growth_rate_error_day","growth_rate_error_year","TG_error_days","TG_error_years","growth_rate_SNR","Detection_Limit"
1,0.56,3700,1.56,95,96.56,0.000789385838118684,0.28812583091332,878.08413463801,2.40570995791236,0.00038777539359278,0.141538018661365,431.347263244968,1.18177332395882,2.03567800113602,"Above"
1,0.56,3700,15.6,95,110.6,0.0079220402123969,2.89154467752487,87.4960441977138,0.239715189582778,0.00154770203165302,0.564911241553352,17.0938043402625,0.0468323406582534,5.11858229192591,"Above"
1,0.56,3700,156,95,251,0.082194743443009,30.0010813566983,8.43298672792318,0.0231040732271868,0.0162197025663049,5.92019143670128,1.66410321077709,0.00455918687884135,5.0675863572099,"Above"
1,0.56,3700,1555,95,1650,1.5443305091346,563.680635834131,0.448833443657319,0.0012296806675543,0.69748002875717,254.580210496367,0.202710728913017,0.000555371860035663,2.21415731700078,"Above"
1,0.56,10000,1.56,95,96.56,0.00028341890593818,0.103447900667436,2445.66317220608,6.70044704713994,0.00013843139093603,0.0505274576916509,1194.54470960154,3.27272523178505,2.04736009673666,"Above"
1,0.56,10000,15.6,95,110.6,0.00283781024323581,1.03580073878107,244.254238708218,0.669189695091008,0.000532798242448094,0.194471358493554,45.8586790305774,0.12564021652213,5.32623799620036,"Above"
1,0.56,10000,156,95,251,0.0287471426255302,10.4927070583185,24.1118635542012,0.0660599001484964,0.00530769015081404,1.93730690504712,4.4518616118302,0.0121968811283019,5.4161305216962,"Above"
1,0.56,10000,1555,95,1650,0.331941191261613,121.158534810489,2.08816259869856,0.00572099342109195,0.0716237260005128,26.1426599901872,0.450567720279796,0.0012344321103556,4.63451442416213,"Above"
1,0.56,1e+05,1.56,95,96.56,2.79048701528447e-05,0.0101852776057883,24839.6490205235,68.0538329329412,1.35978646814052e-05,0.00496322060871291,12104.2020358674,33.1621973585409,2.05215089329459,"Above"
1,0.56,1e+05,15.6,95,110.6,0.000279083748403356,0.101865568167225,2483.65296985387,6.80452868453115,5.15064356372845e-05,0.0187998490076089,458.371770369953,1.25581306950672,5.41842480362459,"Above"
1,0.56,1e+05,156,95,251,0.00279434863970806,1.01993725349344,248.053220958271,0.679597865639097,0.000500705859373434,0.182757638671304,44.4474606372795,0.12177386475967,5.58081873298788,"Above"
1,0.56,1e+05,1555,95,1650,0.028209208032113,10.2963609317212,24.5716639676972,0.0673196273087595,0.00511785960005531,1.86801875402019,4.45791764814011,0.012213473008603,5.51191518262989,"Above"
1,0.76,3700,1.56,95,96.56,0.000574327573937543,0.209629564487203,1206.88473271061,3.30653351427565,0.000272303596743984,0.0993908128115541,572.215349716502,1.56771328689453,2.10914428162151,"Above"
1,0.76,3700,15.6,95,110.6,0.00575817329968399,2.10173325438466,120.376227752295,0.329797884252863,0.000844188158365418,0.308128677803377,17.6479902094581,0.0483506581081044,6.82095957237,"Above"
1,0.76,3700,156,95,251,0.0591305232268225,21.5826409777902,11.7223244905353,0.0321159575083158,0.00847263890144433,3.09251319902718,1.67965742689065,0.00460180116956343,6.97899720673125,"Above"
1,0.76,3700,1555,95,1650,0.849385672014491,310.025770285289,0.816057067357877,0.00223577278728186,0.186042198725298,67.9054025347337,0.178742185203694,0.000489704616996421,4.56555382506879,"Above"
1,0.76,10000,1.56,95,96.56,0.000207883031896535,0.0758773066422351,3334.31340805598,9.13510522755064,9.82381614193525e-05,0.0358569289180637,1575.67847560711,4.31692733043043,2.11611281087741,"Above"
1,0.76,10000,15.6,95,110.6,0.00208077757409777,0.759483814545688,333.119305584834,0.91265563173927,0.000293886691146368,0.107268642268424,47.0493971551724,0.128902457959376,7.08020348244168,"Above"
1,0.76,10000,156,95,251,0.0210052155386911,7.66690367162225,32.9988130463686,0.0904077069763524,0.00283818603591601,1.03593790310934,4.45873884119365,0.0122157228525853,7.40092977446836,"Above"
1,0.76,10000,1555,95,1650,0.232178245527887,84.7450596176787,2.98540967515706,0.0081792045894714,0.0349233110982039,12.7470085508444,0.449053228927837,0.00123028281898038,6.64823117358503,"Above"
1,0.76,1e+05,1.56,95,96.56,2.05522169920127e-05,0.00750155920208465,33726.1513358546,92.4004146187798,9.7013143170619e-06,0.00354097972572759,15919.8394480303,43.6159984877542,2.11849820759514,"Above"
1,0.76,1e+05,15.6,95,110.6,0.000205541180108435,0.075022530739579,3372.30320558765,9.2391868646237,2.86400251590388e-05,0.0104536091830492,469.895368903614,1.28738457233867,7.1767108781176,"Above"
