"Site","Type","Incubation_days","n","BP0_d2H_mean_mean","BP0_d2H_mean_sem","BP1_d2H_mean_mean","BP1_d2H_mean_sem","BP2_d2H_mean_mean","BP2_d2H_mean_sem","BP3_d2H_mean_mean","BP3_d2H_mean_sem","BP4_d2H_mean_mean","BP4_d2H_mean_sem","d2H_wt_mean_mean","d2H_wt_mean_sem","RingDiff_all_mean","RingDiff_all_sem","BP0_D_ppm_mean_mean","BP0_D_ppm_mean_sem","BP1_D_ppm_mean_mean","BP1_D_ppm_mean_sem","BP2_D_ppm_mean_mean","BP2_D_ppm_mean_sem","BP3_D_ppm_mean_mean","BP3_D_ppm_mean_sem","BP4_D_ppm_mean_mean","BP4_D_ppm_mean_sem","D_ppm_wt_mean_mean","D_ppm_wt_mean_sem","Tracer_Water_D_ppm_mean","Tracer_Water_D_ppm_sem","BP0_RelAbund_mean","BP0_RelAbund_sem","BP1_RelAbund_mean","BP1_RelAbund_sem","BP2_RelAbund_mean","BP2_RelAbund_sem","BP3_RelAbund_mean","BP3_RelAbund_sem","BP4_RelAbund_mean","BP4_RelAbund_sem","RI_BP_mean","RI_BP_sem","BP_ug_sediment_g_mean","BP_ug_sediment_g_sem","Delta_D_ppm_wt_mean","Delta_D_ppm_wt_mean_sem","Delta_BP0_D_ppm_mean","Delta_BP0_D_ppm_mean_sem","Delta_BP1_D_ppm_mean","Delta_BP1_D_ppm_mean_sem","Delta_BP2_D_ppm_mean","Delta_BP2_D_ppm_mean_sem","above_detection_limit_wt_mean","growth_wt_mu_day","growth_wt_mu_day_sem","growth_wt_mu_year","growth_wt_mu_year_sem","growth_wt_T_G_years","growth_wt_T_G_years_sem","growth_BP0_mu_day","growth_BP0_mu_day_sem","growth_BP0_mu_year","growth_BP0_mu_year_sem","growth_BP0_T_G_years","growth_BP0_T_G_years_sem","growth_BP1_mu_day","growth_BP1_mu_day_sem","growth_BP1_mu_year","growth_BP1_mu_year_sem","growth_BP1_T_G_years","growth_BP1_T_G_years_sem","growth_BP2_mu_day","growth_BP2_mu_day_sem","growth_BP2_mu_year","growth_BP2_mu_year_sem","growth_BP2_T_G_years","growth_BP2_T_G_years_sem"
"Beryl","Control-Kill",0,1,-408.9318249,9.286442154,-412.854974,6.614516351,-395.8638442,4.962949829,NA,NA,NA,NA,-406.559996346632,4.28391288204693,7.585361717,6.806213071,92.0563038103144,1.44618993133654,91.4453462336533,1.03008864736101,94.0913936039703,0.7728836014447,NA,NA,NA,NA,92.4256716746443,0.667138931880652,3614.530628776,108.245225477693,34.9007688181656,NA,35.7113057989153,NA,28.7561833243936,NA,0.631742058525538,NA,0,NA,0.951188986232791,NA,1.36704885878873,NA,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beryl","Control-Kill",14,1,-409.4280273,9.286442154,-411.145979,6.614516351,-389.251455,4.962949829,NA,NA,NA,NA,-403.902375962532,4.22384129850841,11.71157216,6.806224287,91.9790295476483,1.44619015486365,91.7114905420067,1.03008809900648,95.1211444763325,0.77288200954061,NA,NA,NA,NA,92.8395459385107,0.65778336702666,3990.74803521616,108.1634979717,33.9012107575271,NA,35.1226829529626,NA,30.1510768241723,NA,0.750026786670953,NA,0.0750026786670953,NA,0.979749276759884,NA,0.693237266677953,NA,0.41387426386639,0.936884898142662,-0.0772742626661085,2.04522157272109,0.266144308353404,1.45676494779934,1.0297508723622,1.09302134565326,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beryl","Control-Live",0,1,-413.461617,9.286442154,-414.3903305,5.755515101,-393.0418621,4.962949829,NA,NA,NA,NA,-407.141642512212,3.92033318221075,11.85272847,6.568266754,91.3508727917292,1.44619197189958,91.2062427838218,0.896315510620681,94.5308626304987,0.772882922064118,NA,NA,NA,NA,92.3350912059294,0.610518336311276,134.675566165246,0.0778590243463632,30.5834898883855,NA,35.3823626920102,NA,31.8985523262239,NA,1.04983976129959,NA,1.08575533208089,NA,1.0667200795668,NA,1.48127716346661,NA,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beryl","Control-Live",14,1,-406.2923862,9.286442154,-409.1082179,6.614516351,-387.6653216,5.540091261,NA,NA,NA,NA,-402.41363778959,4.51230321958074,10.81215418,6.938317731,92.4673469245524,1.4461887423345,92.028833894136,1.0300874451634,95.3681535554073,0.862760031607388,NA,NA,NA,NA,93.0713886882153,0.70270552765993,134.609294957388,0.0778590346673767,38.390441839495,NA,35.1668169522092,NA,26.0595130748422,NA,0.383228133453562,NA,0,NA,0.884355275022543,NA,0.273351066995407,NA,0.736297482285892,0.930874694884391,1.1164741328232,2.04522201680938,0.822591110314193,1.36545290627779,0.837290924908601,1.15831899032933,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beryl","Experimental",0,2,-411.78955655,5.96858401616494,-409.05634895,3.90317088810063,-390.1932935,3.33212956958546,NA,NA,NA,NA,-404.312537146574,2.68125099585228,12.535637335,4.30878112152866,91.6112646322856,0.929496003762462,92.0369113566226,0.607845951394956,94.9744704733168,0.518913800414481,NA,NA,NA,NA,92.7756705291016,0.417554065205017,3618.34508446341,76.5403470875778,34.4060168099124,0.0246336759759487,34.818151815692,0.407588640903551,29.8062286274043,0.336753572770851,0.839854713598245,0.086611583454571,0.12974803339319,0.00885716065408201,0.974691653448679,0.00561181897618201,1.61382693513649,0.651746567166448,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beryl","Experimental",3,2,-403.35692765,3.05338191196104,-401.4457572,2.73925941248893,-373.90894455,2.72491543889136,NA,NA,NA,NA,-393.550692668511,1.64609106131547,17.093199655,2.69668850234293,92.9244890967654,0.475506381912513,93.2221176381676,0.426587500186102,97.5104335849481,0.424350059539026,NA,NA,NA,NA,94.4516221052289,0.256346712805139,3556.28334613516,76.5498830716338,33.489801822739,0.833467436538651,34.7763049562761,0.61431618322085,30.8015315226673,1.12816096379,0.839894879994437,0.227155837646263,0.092466818323159,0.092466818323159,0.992689199148866,0.0269334053059045,4.27751574263831,1.08025240852792,1.67595157612729,0.489964319655254,1.31322446447984,1.04406376254035,1.18520628154496,0.742599216227883,2.5359631116313,0.67033163828912,FALSE,0.000247899836102641,8.25346855013981e-05,0.0904834401774641,0.0301251602080103,7.66048659512154,2.55044885005189,0.000194130804796208,0.00015738330551903,0.0708577437506158,0.0574449065144459,9.78223612368297,7.93053249910064,0.00017523428878837,0.000113278862899194,0.0639605154077549,0.0413467849582057,10.8371106164649,7.00556709667999,0.000375547299069123,0.00011594663205924,0.13707476416023,0.0423205207016227,5.05670890485508,1.56121044745951
"Beryl","Experimental",14,2,-397.3905614,3.05338191196104,-392.45489555,2.73925941248893,-359.7026025,2.72491543889136,NA,NA,NA,NA,-383.903913032247,1.64662551092923,21.876126615,2.69674239593552,93.8536367608247,0.475505498199481,94.6222710306646,0.426586305499913,99.7227767246388,0.424348181742477,NA,NA,NA,NA,95.9539182540788,0.256429172067172,3754.66990603318,76.5194060903966,33.7106337641987,0.0821630343784001,34.3517880875602,1.1592580742209,30.9117235863675,0.8979696106089,0.903208574279861,0.163932377254158,0.122645987593672,0.0151930519794715,0.993754449335096,0.0118925048667735,1.73780210677103,0.02241418493032,3.1782477249772,0.490007466939322,2.24237212853919,1.04406336006409,2.585359674042,0.742598529938825,4.74830625132205,0.67033044956107,TRUE,9.52368488164231e-05,2.10848081781635e-05,0.0347614498179944,0.00769595498502966,19.9401113644326,4.41460871915974,6.71471568306677e-05,3.30248763134626e-05,0.0245087122431937,0.0120540798544139,28.2816646456992,13.9097248632345,7.74372026488038e-05,2.54141947813231e-05,0.0282645789668134,0.00927618109518295,24.5235275350748,8.04840159746086,0.000142462330462072,3.03028179035632e-05,0.0519987506186564,0.0110605285348006,13.3300737481807,2.83540776092896
"ETAT-3","Control-Kill",0,1,-319.7057556,8.215867935,-308.2882505,5.755515101,-302.1716135,4.647580114,NA,NA,NA,NA,-307.184549907859,3.31045059659405,9.411301554,5.596138043,105.951404618099,1.27943243113555,107.729415224813,0.896285888212176,108.681936434068,0.723749735861068,NA,NA,NA,NA,107.90129056145,0.515524515395571,3855.17297504364,108.19294603306,16.7723190702588,NA,32.6201796090861,NA,49.0755414685684,NA,1.47913365029054,NA,0.0528262017960909,NA,1.35419968304279,NA,0.244948636445619,NA,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETAT-3","Control-Kill",14,1,-310.8760483,15.36678833,-305.6629677,8.696519072,-300.5490539,6.991268248,NA,NA,NA,NA,-304.921541372147,5.61392923875184,5.542926365,9.611015473,107.326426518541,2.39301719960448,108.138241007188,1.3542768649016,108.934611322152,1.08872270437477,NA,NA,NA,NA,108.253700583437,0.874236308857145,3654.11418513182,108.236625099617,24.2944785276074,NA,36.441717791411,NA,39.2638036809816,NA,0,NA,0,NA,1.14969325153374,NA,0.0632429597990229,NA,0.352410021986998,1.01491608012584,1.37502190044199,2.7135730436906,0.408825782375004,1.62400560966272,0.252674888083988,1.30733729663774,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETAT-3","Control-Live",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.299910465793,0.0778573697301534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
