Site,Type,Time Point (days),N,BP-0 Rel. Abund. (%),BP-1 Rel. Abund. (%),BP-2 Rel. Abund. (%),BP-3 Rel. Abund. (%),BP-4 Rel. Abund. (%),Ring Index,BP-0 Î´2H (â€°),BP-1 Î´2H (â€°),BP-2 Î´2H (â€°),Wt. Mean Î´2H (â€°),âˆ†Î´2H/ring (â€°)
Beryl,Control-Kill,0,1,35,36,29,1,0,0.95,-409 ± 9.3,-413 ± 6.6,-396 ± 5,-407 ± 4.3,8 ± 6.8
Beryl,Control-Kill,14,1,34,35,30,1,0,0.98,-409 ± 9.3,-411 ± 6.6,-389 ± 5,-404 ± 4.2,12 ± 6.8
Beryl,Control-Live,0,1,31,35,32,1,1,1.07,-413 ± 9.3,-414 ± 5.8,-393 ± 5,-407 ± 3.9,12 ± 6.6
Beryl,Control-Live,14,1,38,35,26,0,0,0.88,-406 ± 9.3,-409 ± 6.6,-388 ± 5.5,-402 ± 4.5,11 ± 6.9
Beryl,Experimental,0,2,34 ± 0,35 ± 0.4,30 ± 0.3,1 ± 0.1,0 ± 0,0.97 ± 0.01,-412 ± 5.2,-409 ± 2.6,-390 ± 6.8,-404 ± 4.8,13 ± 1
Beryl,Experimental,3,2,33 ± 0.8,35 ± 0.6,31 ± 1.1,1 ± 0.2,0 ± 0.1,0.99 ± 0.03,-403 ± 1.9,-401 ± 1.4,-374 ± 0,-394 ± 1.5,17 ± 1.1
Beryl,Experimental,14,2,34 ± 0.1,34 ± 1.2,31 ± 0.9,1 ± 0.2,0 ± 0,0.99 ± 0.01,-397 ± 1.6,-392 ± 3,-360 ± 3.4,-384 ± 3,22 ± 1.1
ETAT-3,Control-Kill,0,1,17,33,49,1,0,1.35,-320 ± 8.2,-308 ± 5.8,-302 ± 4.6,-307 ± 3.3,9 ± 5.6
ETAT-3,Control-Kill,14,1,24,36,39,0,0,1.15,-311 ± 15.4,-306 ± 8.7,-301 ± 7,-305 ± 5.6,6 ± 9.6
ETAT-3,Control-Live,0,1,-,-,-,-,-,-,-,-,-,-,-
ETAT-3,Control-Live,14,1,15,32,49,2,1,1.42,-321 ± 15.4,-301 ± 6.6,-307 ± 5.5,-307 ± 4.3,7 ± 8.9
ETAT-3,Experimental,0,2,21 ± 1.4,35 ± 0.1,43 ± 1.5,1 ± 0,0 ± 0,1.23 ± 0.03,-314 ± 6.9,-306 ± 3.3,-301 ± 1,-306 ± 3.3,7 ± 3.2
ETAT-3,Experimental,3,2,18 ± 2.7,33 ± 2,47 ± 4,1 ± 0.6,0 ± 0,1.32 ± 0.08,-314 ± 5.5,-307 ± 4.7,-301 ± 4,-305 ± 4.9,7 ± 0.8
ETAT-3,Experimental,14,2,27,39,34,0,0,1.08,-322 ± 5.8,-310 ± 4.6,-303 ± 4.4,-311 ± 2.8,10 ± 4.4
