"Site","Type","TimePoint","N","BP0_RelAbund_mean","BP0_RelAbund_sem","BP1_RelAbund_mean","BP1_RelAbund_sem","BP2_RelAbund_mean","BP2_RelAbund_sem","BP3_RelAbund_mean","BP3_RelAbund_sem","BP4_RelAbund_mean","BP4_RelAbund_sem","RI_BP_mean","RI_BP_sem","BP0_d2H_mean_mean","BP0_d2H_mean_sem","BP1_d2H_mean_mean","BP1_d2H_mean_sem","BP2_d2H_mean_mean","BP2_d2H_mean_sem","d2H_wt_mean_mean","d2H_wt_mean_sem","RingDiff_all_mean","RingDiff_all_sem"
"Beryl","Control-Kill",0,1,34.9007688181656,NA,35.7113057989153,NA,28.7561833243936,NA,0.631742058525538,NA,0,NA,0.951188986232791,NA,-408.9318249,9.286442154,-412.854974,6.614516351,-395.8638442,4.962949829,-406.559996346632,4.28391288204693,7.585361717,6.806213071
"Beryl","Control-Kill",3,1,33.9012107575271,NA,35.1226829529626,NA,30.1510768241723,NA,0.750026786670953,NA,0.0750026786670953,NA,0.979749276759884,NA,-409.4280273,9.286442154,-411.145979,6.614516351,-389.251455,4.962949829,-403.902375962532,4.22384129850841,11.71157216,6.806224287
"Beryl","Control-Live",0,1,30.5834898883855,NA,35.3823626920102,NA,31.8985523262239,NA,1.04983976129959,NA,1.08575533208089,NA,1.0667200795668,NA,-413.461617,9.286442154,-414.3903305,5.755515101,-393.0418621,4.962949829,-407.141642512212,3.92033318221075,11.85272847,6.568266754
"Beryl","Control-Live",3,1,38.390441839495,NA,35.1668169522092,NA,26.0595130748422,NA,0.383228133453562,NA,0,NA,0.884355275022543,NA,-406.2923862,9.286442154,-409.1082179,6.614516351,-387.6653216,5.540091261,-402.41363778959,4.51230321958074,10.81215418,6.938317731
"Beryl","Experimental",0,2,34.4060168099124,0.0246336759759487,34.818151815692,0.407588640903551,29.8062286274043,0.336753572770851,0.839854713598245,0.086611583454571,0.12974803339319,0.00885716065408201,0.974691653448679,0.00561181897618201,-411.78955655,5.16335574999999,-409.05634895,2.55349075000001,-390.1932935,6.80783349999999,-404.312537146574,4.81010481949801,12.535637335,0.954543675
"Beryl","Experimental",1,2,33.489801822739,0.833467436538651,34.7763049562761,0.61431618322085,30.8015315226673,1.12816096379,0.839894879994437,0.227155837646263,0.092466818323159,0.092466818323159,0.992689199148866,0.0269334053059045,-403.35692765,1.91886955000001,-401.4457572,1.3909376,-373.90894455,0.0399146500000143,-393.550692668511,1.479666803388,17.093199655,1.136984085
"Beryl","Experimental",3,2,33.7106337641987,0.0821630343784001,34.3517880875602,1.1592580742209,30.9117235863675,0.8979696106089,0.903208574279861,0.163932377254158,0.122645987593672,0.0151930519794715,0.993754449335096,0.0118925048667735,-397.3905614,1.61904680000001,-392.45489555,2.99101185000001,-359.7026025,3.4333412,-383.903913032247,2.9704012576085,21.876126615,1.053114445
"ETAT-3","Control-Kill",0,1,16.7723190702588,NA,32.6201796090861,NA,49.0755414685684,NA,1.47913365029054,NA,0.0528262017960909,NA,1.35419968304279,NA,-319.7057556,8.215867935,-308.2882505,5.755515101,-302.1716135,4.647580114,-307.184549907859,3.31045059659405,9.411301554,5.596138043
"ETAT-3","Control-Kill",3,1,24.2944785276074,NA,36.441717791411,NA,39.2638036809816,NA,0,NA,0,NA,1.14969325153374,NA,-310.8760483,15.36678833,-305.6629677,8.696519072,-300.5490539,6.991268248,-304.921541372147,5.61392923875184,5.542926365,9.611015473
"ETAT-3","Control-Live",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETAT-3","Control-Live",3,1,15.0197628458498,NA,32.4110671936759,NA,49.3083003952569,NA,2.17391304347826,NA,1.08695652173913,NA,1.41897233201581,NA,-320.7654678,15.36678833,-300.5564923,6.614516351,-306.9864933,5.540091261,-306.971543142697,4.31013654476857,7.395747283,8.919152525
"ETAT-3","Experimental",0,2,21.0318058632275,1.38500674622965,35.392093186888,0.0720048866672514,42.6748800562895,1.47523031898645,0.901220893595142,0.0182186860896225,0,0,1.23445515980252,0.02823799693037,-313.91205355,6.92742305000002,-305.93855025,3.34584745000001,-301.21615955,1.03205675000001,-305.681661141737,3.29127111389701,6.8144130725,3.1642876765
"ETAT-3","Experimental",1,2,18.1537407578068,2.6684218874122,33.2586420220437,1.9513669145068,47.4124700227785,3.98083463403845,1.12839200754501,0.592198978054391,0.0467551898260707,0.0467551898260707,1.3165577884954,0.07973920047038,-313.8024009,5.53143979999999,-306.57225535,4.73653805000001,-301.3698881,4.00507869999998,-305.454092550461,4.94364630623249,6.673045449,0.819261334
"ETAT-3","Experimental",3,2,26.9230769230769,NA,38.9140271493213,NA,33.710407239819,NA,0.452488687782805,NA,0,NA,1.07692307692308,NA,-321.5963846,5.776071891,-309.70827,4.612248312,-302.7964637,4.419977781,-310.582875678864,2.81626797760972,10.09069762,4.360145224
